.	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	
_0_f1	5	193	53	-27	0	0	0	33	-2	105	18	176	72	114	92	38	
_0_f2	51	191	55	-31	0	0	0	33	25	106	56	171	98	105	99	15	
_0_f3	36	187	59	-31	0	0	0	36	12	102	38	171	91	103	100	19	
_0_f4	23	202	48	-30	0	0	0	39	3	103	33	180	84	112	94	28	
_0_f5	30	185	62	-25	0	0	0	32	11	101	37	168	85	106	96	21	
_0_f6	4	195	65	-21	0	0	0	34	-4	100	15	180	69	120	102	34	
_0_f7	37	195	62	-32	0	0	0	35	20	101	50	173	102	105	105	22	
_0_f8	41	191	58	-34	0	0	0	34	15	100	47	175	93	105	99	18	
_0_f9	40	190	52	-33	0	0	0	38	13	107	44	176	88	113	102	31	
_0_f10	-4	179	62	-21	0	0	0	29	1	89	9	164	70	111	100	36	
_0_f11	41	206	53	-25	0	0	0	39	11	104	47	177	95	111	95	26	
_0_f12	33	197	55	-30	0	0	0	35	7	106	39	175	89	111	95	24	
_0_f13	-12	205	52	-15	0	0	0	38	-10	111	4	187	66	129	80	44	
_0_f14	13	186	56	-32	0	0	0	34	8	101	25	166	80	105	97	26	
_0_f15	20	186	45	-31	0	0	0	34	10	96	31	165	84	104	90	19	
_0_f16	29	183	55	-31	0	0	0	32	10	98	39	163	82	106	95	17	
_0_f17	11	203	57	-28	0	0	0	39	-2	106	23	182	77	122	100	36	
_0_f18	37	187	54	-27	0	0	0	34	11	100	43	171	84	106	93	28	
_0_f19	49	191	53	-31	0	0	0	35	21	102	54	172	94	98	99	18	
_0_f20	-8	191	57	-34	0	0	0	32	-7	93	6	173	71	119	101	30	
_0_f21	43	184	49	-32	0	0	0	33	14	100	49	165	91	99	98	20	
_0_f22	57	185	62	-37	0	0	0	35	22	103	61	169	96	100	104	24	
_0_f23	-10	196	55	-20	0	0	0	38	-10	107	5	181	73	123	88	46	
_0_f24	20	195	60	-28	0	0	0	32	6	101	33	173	84	114	100	30	
_0_f25	35	202	59	-27	0	0	0	34	6	108	41	182	83	117	99	31	
_0_f26	1	188	60	-19	0	0	0	35	-2	99	12	170	70	119	93	45	
_0_f27	24	194	52	-24	0	0	0	39	8	105	34	174	80	115	95	32	
_0_f28	25	204	55	-27	0	0	0	34	7	108	35	185	83	118	92	32	
_0_f29	36	198	47	-30	0	0	0	39	14	110	43	177	92	105	98	25	
_0_f30	8	198	53	-35	0	0	0	34	4	101	22	175	82	111	100	24	
_1_m1	53	220	46	-35	0	0	0	37	12	122	58	204	93	117	103	28	
_1_m2	57	219	50	-43	0	0	0	37	13	119	61	198	102	110	104	20	
_1_m3	89	227	52	-47	0	0	0	32	35	120	93	201	131	92	104	4	
_1_m4	46	222	51	-45	0	0	0	30	11	113	54	196	101	117	101	16	
_1_m5	85	220	48	-38	0	0	0	39	28	125	87	203	121	106	103	7	
_1_m6	64	208	43	-39	0	0	0	36	22	111	67	191	104	102	101	18	
_1_m7	67	216	51	-37	0	0	0	35	17	119	68	191	108	109	94	15	
_1_m8	35	236	61	-42	0	0	0	33	2	119	43	211	90	126	104	30	
_1_m9	116	218	40	-38	0	0	0	41	41	124	116	201	133	94	103	12	
_1_m10	56	234	60	-34	0	0	0	34	12	121	58	215	109	119	112	28	
_1_m11	40	223	58	-36	0	0	0	34	9	113	46	202	97	120	112	24	
_1_m12	94	223	49	-57	0	0	0	33	31	122	94	206	136	99	113	-1	
_1_m13	68	222	59	-41	0	0	0	30	18	119	68	204	104	114	98	11	
_1_m14	65	224	56	-33	0	0	0	35	15	130	67	205	108	115	95	20	
_1_m15	67	214	52	-47	0	0	0	36	26	115	74	192	114	105	104	11	
_1_m16	110	213	52	-46	0	0	0	37	42	121	109	190	133	97	108	-8	
_1_m17	46	219	50	-42	0	0	0	36	11	121	56	199	104	108	102	21	
_1_m18	79	209	66	-43	0	0	0	35	24	114	84	193	108	115	109	14	
_1_m19	58	244	74	-22	0	0	0	37	7	131	64	219	98	128	100	29	
_1_m20	43	236	64	-43	0	0	0	33	12	124	52	215	110	121	105	7	
_1_m21	70	226	54	-37	0	0	0	39	28	121	74	204	122	105	107	7	
_1_m22	68	224	55	-37	0	0	0	35	18	121	71	207	109	108	98	13	
_1_m23	34	247	63	-35	0	0	0	35	4	124	45	225	104	135	110	29	
_1_m24	49	236	59	-40	0	0	0	38	19	127	59	219	105	121	109	25	
_1_m25	98	195	44	-44	0	0	0	36	30	116	98	177	121	89	105	10	
_1_m26	109	208	49	-40	0	0	0	36	29	125	105	189	120	102	102	12	
_1_m27	61	224	51	-35	0	0	0	41	15	122	67	206	107	121	103	25	
_1_m28	43	213	49	-57	0	0	0	28	20	111	58	194	112	106	108	6	
_1_m29	26	249	67	-14	0	0	0	38	-11	130	33	225	87	148	97	53	
